Table 1
✅valid_payload,"`{""name"": ""Alice"", ""email"": ""alice@example.com""}`",,,,,,
❌invalid_payload,"`{""name"": """", ""email"": "" ""}`",,,,,,
No.1,Method,ContentType,Playload,ActualStatusCode,Note,Log,Note
TC01,json_validate,application/json,valid_payload,200,✅Expected,,
TC01,—,application/json,invalid_payload,400,✅Expected,,
TC02,—,application/json,{},422,,"2025-07-21T14:20:05.745319Z DEBUG http-request: loco_rs::controller::extractor::validate: request validation error occurred err=ValidationErrors({""name"": Field([ValidationError { code: ""length"", message: Some(""custom message""), params: {""value"": String(""""), ""min"": Number(5)} }])}) http.method=POST http.uri=/backend/validations/json_validate http.version=HTTP/1.1 http.user_agent=Apifox/1.0.0 (https://apifox.com) environment=development request_id=23ab1872-4608-491e-a70d-29496168d5f5
2025-07-21T14:20:05.745379Z ERROR http-request: loco_rs::controller: controller_error error.msg= error.details=BadRequest("""") http.method=POST http.uri=/backend/validations/json_validate http.version=HTTP/1.1 http.user_agent=Apifox/1.0.0 (https://apifox.com) environment=development request_id=23ab1872-4608-491e-a70d-29496168d5f5",
TC03,—,application/json,Null,400,,"2025-07-21T14:20:42.265606Z ERROR http-request: loco_rs::controller: controller_error error.msg=Failed to parse the request body as JSON: EOF while parsing a value at line 1 column 0 error.details=JsonRejection(JsonSyntaxError(JsonSyntaxError(Error { inner: Error { path: Path { segments: [] }, original: Error(""EOF while parsing a value"", line: 1, column: 0) } }))) http.method=POST http.uri=/backend/validations/json_validate http.version=HTTP/1.1 http.user_agent=Apifox/1.0.0 (https://apifox.com) environment=development request_id=540eb6c7-59ce-44ff-94d5-bba0d24d3361",
TC04,—,application/xml,valid_payload,415,,"2025-07-21T14:35:05.244338Z ERROR http-request: loco_rs::controller: controller_error error.msg=Expected request with `Content-Type: application/json` error.details=JsonRejection(MissingJsonContentType(MissingJsonContentType)) http.method=POST http.uri=/backend/validations/json_validate_with_message http.version=HTTP/1.1 http.user_agent=Apifox/1.0.0 (https://apifox.com) environment=development request_id=ed162501-111e-484a-a11f-ca644a4ddce1
2025-07-21T14:35:05.244419Z DEBUG http-request: loco_rs::controller: json rejection err=""Expected request with `Content-Type: application/json`"" http.method=POST http.uri=/backend/validations/json_validate_with_message http.version=HTTP/1.1 http.user_agent=Apifox/1.0.0 (https://apifox.com) environment=development request_id=ed162501-111e-484a-a11f-ca644a4ddce1",error.msg=Expected request with `Content-Type: application/json` error.details=JsonRejection(MissingJsonContentType(MissingJsonContentType))
,,application/xml,invalid_payload,415,,,error.msg=Expected request with `Content-Type: application/json` error.details=JsonRejection(MissingJsonContentType(MissingJsonContentType))
TC05,—,application/xml,{},415,,,error.msg=Expected request with `Content-Type: application/json` error.details=JsonRejection(MissingJsonContentType(MissingJsonContentType))
TC06,—,application/xml,Null,415,,,error.msg=Expected request with `Content-Type: application/json` error.details=JsonRejection(MissingJsonContentType(MissingJsonContentType))
TC07,—,"application/x-www-form-urlencoded

",valid_payload,415,,,error.msg=Expected request with `Content-Type: application/json` error.details=JsonRejection(MissingJsonContentType(MissingJsonContentType))
,,"application/x-www-form-urlencoded

",invalid_payload,415,,,error.msg=Expected request with `Content-Type: application/json` error.details=JsonRejection(MissingJsonContentType(MissingJsonContentType))
